真实值_第1小时,预测值_第1小时,真实值_第2小时,预测值_第2小时,真实值_第3小时,预测值_第3小时
3.7,3.78503,3.6,3.828958,3.6,3.869341
3.6,3.7190778,3.6,3.7619746,3.5,3.7987216
3.6,3.7579215,3.5,3.7841904,3.7,3.815605
3.5,3.7087986,3.7,3.7058463,3.7,3.720701
3.7,3.6733673,3.7,3.6799405,3.7,3.7040632
3.7,3.7448559,3.7,3.745442,3.6,3.7591326
3.7,3.7494674,3.6,3.747739,3.7,3.7591667
3.6,3.7673566,3.7,3.7596006,3.7,3.765845
3.7,3.7358358,3.7,3.7378132,3.7,3.7528477
3.7,3.775514,3.7,3.7807093,3.6,3.7951603
3.7,3.7171135,3.6,3.7412865,3.7,3.7718773
3.6,3.7013066,3.7,3.7315874,3.7,3.7657855
3.7,3.7026672,3.7,3.7495558,3.6,3.7957215
3.7,3.7108061,3.6,3.7483797,3.6,3.783691
3.6,3.803131,3.6,3.8302577,3.7,3.8580196
3.6,3.765053,3.7,3.7876074,3.6,3.8168004
3.7,3.7271516,3.6,3.75191,3.6,3.7844498
3.6,3.7108667,3.6,3.7151005,3.7,3.7311418
3.6,3.6949985,3.7,3.7002366,3.7,3.7176108
3.7,3.776723,3.7,3.7879539,3.6,3.8083074
3.7,3.731728,3.6,3.7416184,3.7,3.7632773
3.6,3.732504,3.7,3.7506046,3.7,3.7778208
3.7,3.7249408,3.7,3.7509127,3.7,3.7830296
3.7,3.709544,3.7,3.7485716,3.4,3.7908285
3.7,3.7117903,3.4,3.7522845,3.6,3.7948651
3.4,3.7391722,3.6,3.776419,3.7,3.8037398
3.6,3.7588756,3.7,3.8125107,3.7,3.8652363
3.7,3.7547038,3.7,3.7532928,3.7,3.7670658
3.7,3.7789073,3.7,3.7725463,3.7,3.7811737
3.7,3.798149,3.7,3.7980747,3.7,3.8087983
3.7,3.7493484,3.7,3.7493675,3.7,3.763527
3.7,3.7663982,3.7,3.763497,3.5,3.77444
3.7,3.7770643,3.5,3.7754292,3.7,3.7863274
3.5,3.7679093,3.7,3.7699816,3.8,3.7844722
3.7,3.7835774,3.8,3.818241,3.8999999,3.8532667
3.8,3.7687948,3.8999999,3.7882283,3.8999999,3.813511
3.8999999,3.827523,3.8999999,3.827211,4.0,3.8297532
3.8999999,3.8628643,4.0,3.8551695,4.0,3.8495288
